date,ipca,selic,cambio
2015-01-01,1.24,11.82,2.6617
2015-02-01,1.22,12.15,2.8777
2015-03-01,1.32,12.58,3.2074
2015-04-01,0.71,12.68,2.993
2015-05-01,0.74,13.15,3.1781
2015-06-01,0.79,13.58,3.1019
2015-07-01,0.62,13.69,3.3934
2015-08-01,0.22,14.15,3.6461
2015-09-01,0.54,14.15,3.9722
2015-10-01,0.82,14.15,3.8582
2015-11-01,1.01,14.15,3.8499
2015-12-01,0.96,14.15,3.9042
2016-01-01,1.27,14.15,4.0422
2016-02-01,0.9,14.15,3.979
2016-03-01,0.43,14.15,3.5583
2016-04-01,0.61,14.15,3.4502
2016-05-01,0.78,14.15,3.5945
2016-06-01,0.35,14.15,3.2092
2016-07-01,0.52,14.15,3.2384
2016-08-01,0.44,14.15,3.2397
2016-09-01,0.08,14.15,3.2456
2016-10-01,0.26,14.05,3.1805
2016-11-01,0.18,13.9,3.3961
2016-12-01,0.3,13.65,3.2585
2017-01-01,0.38,13.17,3.1264
2017-02-01,0.33,12.82,3.0987
2017-03-01,0.25,12.15,3.1678
2017-04-01,0.14,11.59,3.1978
2017-05-01,0.31,11.15,3.2431
2017-06-01,-0.23,10.15,3.3076
2017-07-01,0.24,10.01,3.1301
2017-08-01,0.19,9.15,3.1465
2017-09-01,0.16,8.35,3.1674
2017-10-01,0.42,8.01,3.2763
2017-11-01,0.28,7.4,3.261
2017-12-01,0.44,7,3.3074
2018-01-01,0.29,6.9,3.1618
2018-02-01,0.32,6.72,3.2443
2018-03-01,0.09,6.58,3.3232
2018-04-01,0.22,6.4,3.4805
2018-05-01,0.4,6.4,3.7364
2018-06-01,1.26,6.4,3.8552
2018-07-01,0.33,6.4,3.7543
2018-08-01,-0.09,6.4,4.1347
2018-09-01,0.48,6.4,4.0033
2018-10-01,0.45,6.4,3.7171
2018-11-01,-0.21,6.4,3.8627
2018-12-01,0.15,6.4,3.8742
2019-01-01,0.32,6.4,3.6513
2019-02-01,0.43,6.4,3.7379
2019-03-01,0.75,6.4,3.8961
2019-04-01,0.57,6.4,3.9447
2019-05-01,0.13,6.4,3.9401
2019-06-01,0.01,6.4,3.8316
2019-07-01,0.19,6.4,3.7643
2019-08-01,0.11,5.9,4.1379
2019-09-01,-0.04,5.71,4.1638
2019-10-01,0.1,5.38,4.0035
2019-11-01,0.51,4.9,4.2234
2019-12-01,1.15,4.59,4.0301
2020-01-01,0.21,4.4,4.2689
2020-02-01,0.25,4.19,4.4981
2020-03-01,0.07,3.95,5.1981
2020-04-01,-0.31,3.65,5.4264
2020-05-01,-0.38,3.01,5.4257
2020-06-01,0.26,2.58,5.4754
2020-07-01,0.36,2.15,5.2027
2020-08-01,0.24,1.94,5.4707
2020-09-01,0.64,1.9,5.6401
2020-10-01,0.86,1.9,5.7712
2020-11-01,0.89,1.9,5.3311
2020-12-01,1.35,1.9,5.1961
2021-01-01,0.25,1.9,5.4753
2021-02-01,0.86,1.9,5.5296
2021-03-01,0.93,2.23,5.6967
2021-04-01,0.31,2.65,5.403
2021-05-01,0.83,3.29,5.2316
2021-06-01,0.53,3.76,5.0016
2021-07-01,0.96,4.15,5.121
2021-08-01,0.87,5.01,5.1427
2021-09-01,1.16,5.43,5.4388
2021-10-01,1.25,6.3,5.6424
2021-11-01,0.95,7.65,5.6193
2021-12-01,0.73,8.76,5.5799
2022-01-01,0.54,9.15,5.3568
2022-02-01,1.01,10.49,5.1388
2022-03-01,1.62,11.15,4.7372
2022-04-01,1.06,11.65,4.9185
2022-05-01,0.47,12.51,4.7283
2022-06-01,0.67,12.89,5.2374
2022-07-01,-0.68,13.15,5.1878
2022-08-01,-0.36,13.58,5.1784
2022-09-01,-0.29,13.65,5.406
2022-10-01,0.59,13.65,5.2564
2022-11-01,0.41,13.65,5.2935
2022-12-01,0.62,13.65,5.2171
2023-01-01,0.53,13.65,5.0987
2023-02-01,0.84,13.65,5.2072
2023-03-01,0.71,13.65,5.0798
2023-04-01,0.61,13.65,5.0001
2023-05-01,0.23,13.65,5.0953
2023-06-01,-0.08,13.65,4.8186
2023-07-01,0.12,13.65,4.7409
2023-08-01,0.23,13.19,4.9213
2023-09-01,0.26,12.97,5.007
2023-10-01,0.24,12.65,5.0569
2023-11-01,0.28,12.17,4.9349
2023-12-01,0.56,11.87,4.8407
2024-01-01,0.42,11.65,4.9529
2024-02-01,0.83,11.15,4.9827
2024-03-01,0.16,11,4.9956
2024-04-01,0.38,10.65,5.1712
2024-05-01,0.46,10.46,5.241
2024-06-01,0.21,10.4,5.5583
2024-07-01,0.38,10.4,5.6615
2024-08-01,-0.02,10.4,5.6556
2024-09-01,0.44,10.5,5.4475
2024-10-01,0.56,10.65,5.7773
2024-11-01,0.39,11.04,6.0529
2024-12-01,0.52,11.77,6.1917
